Timestamp,Event,Doctrine_Name,Doctrine_ID,Status
2025-10-21 00:36:56,LOAD,Assassins_Plan_V13,TradeA_Assassins_V13,Success
2025-10-21 00:36:56,LOAD,Avengers_Plan_V13,TradeB_Avengers_V13,Success
2025-10-21 00:36:56,LOAD_FAIL,Doctrine_Index.json,Unknown,Error: 'Doctrine_ID'
2025-10-21 00:36:56,SUMMARY,All,System,Count=2
2025-10-21 00:37:38,LOAD,Assassins_Plan_V13,TradeA_Assassins_V13,Success
2025-10-21 00:37:38,LOAD,Avengers_Plan_V13,TradeB_Avengers_V13,Success
2025-10-21 00:37:38,LOAD_FAIL,Doctrine_Index.json,Unknown,Error: 'Doctrine_ID'
2025-10-21 00:37:38,SUMMARY,All,System,Count=2
2025-10-21 00:41:22,LOAD,Assassins_Plan_V13,TradeA_Assassins_V13,Success
2025-10-21 00:41:22,LOAD,Avengers_Plan_V13,TradeB_Avengers_V13,Success
2025-10-21 00:41:22,LOAD_FAIL,Doctrine_Index.json,Unknown,Error: 'Doctrine_ID'
2025-10-21 00:41:22,SUMMARY,All,System,Count=2
2025-10-21 00:42:19,LOAD,Assassins_Plan_V13,TradeA_Assassins_V13,Success
2025-10-21 00:42:19,LOAD,Avengers_Plan_V13,TradeB_Avengers_V13,Success
2025-10-21 00:42:19,LOAD_FAIL,Doctrine_Index.json,Unknown,Error: 'Doctrine_ID'
2025-10-21 00:42:19,SUMMARY,All,System,Count=2
2025-10-21 00:43:56,LOAD,Assassins_Plan_V13,TradeA_Assassins_V13,Success
2025-10-21 00:43:56,LOAD,Avengers_Plan_V13,TradeB_Avengers_V13,Success
2025-10-21 00:43:56,LOAD_FAIL,Doctrine_Index.json,Unknown,Error: 'Doctrine_ID'
2025-10-21 00:43:56,SUMMARY,All,System,Count=2
2025-10-21 00:49:48,LOAD,Assassins_Plan_V13,TradeA_Assassins_V13,Success
2025-10-21 00:49:48,LOAD,Avengers_Plan_V13,TradeB_Avengers_V13,Success
2025-10-21 00:49:48,LOAD_FAIL,Doctrine_Index.json,Unknown,Error: 'Doctrine_ID'
2025-10-21 00:49:48,SUMMARY,All,System,Count=2
2025-10-21 00:49:48,LOAD,Assassins_Plan_V13,TradeA_Assassins_V13,Success
